101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.100000		-0.800000		-0.011126
0.101000		-0.800000		-0.010784
0.102000		-0.800000		-0.010455
0.103000		-0.800000		-0.010140
0.104000		-0.800000		-0.009838
0.105000		-0.800000		-0.009548
0.106000		-0.800000		-0.009270
0.107000		-0.800000		-0.009003
0.108000		-0.800000		-0.008746
0.109000		-0.800000		-0.008499
0.110000		-0.800000		-0.008261
0.111000		-0.800000		-0.008033
0.112000		-0.800000		-0.007813
0.113000		-0.800000		-0.007601
0.114000		-0.800000		-0.007398
0.115000		-0.800000		-0.007201
0.116000		-0.800000		-0.007012
0.117000		-0.800000		-0.006830
0.118000		-0.800000		-0.006654
0.119000		-0.800000		-0.006484
0.120000		-0.800000		-0.006320
0.121000		-0.800000		-0.006162
0.122000		-0.800000		-0.006010
0.123000		-0.800000		-0.005862
0.124000		-0.800000		-0.005720
0.125000		-0.800000		-0.005582
0.126000		-0.800000		-0.005449
0.127000		-0.800000		-0.005321
0.128000		-0.800000		-0.005196
0.129000		-0.800000		-0.005076
0.130000		-0.800000		-0.004959
0.131000		-0.800000		-0.004846
0.132000		-0.800000		-0.004737
0.133000		-0.800000		-0.004631
0.134000		-0.800000		-0.004529
0.135000		-0.800000		-0.004430
0.136000		-0.800000		-0.004333
0.137000		-0.800000		-0.004240
0.138000		-0.800000		-0.004149
0.139000		-0.800000		-0.004061
0.140000		-0.800000		-0.003976
0.141000		-0.800000		-0.003894
0.142000		-0.800000		-0.003813
0.143000		-0.800000		-0.003735
0.144000		-0.800000		-0.003660
0.145000		-0.800000		-0.003586
0.146000		-0.800000		-0.003515
0.147000		-0.800000		-0.003445
0.148000		-0.800000		-0.003378
0.149000		-0.800000		-0.003312
0.150000		-0.800000		-0.003248
0.151000		-0.800000		-0.003186
0.152000		-0.800000		-0.003126
0.153000		-0.800000		-0.003067
0.154000		-0.800000		-0.003010
0.155000		-0.800000		-0.002954
0.156000		-0.800000		-0.002900
0.157000		-0.800000		-0.002847
0.158000		-0.800000		-0.002796
0.159000		-0.800000		-0.002746
0.160000		-0.800000		-0.002697
0.161000		-0.800000		-0.002650
0.162000		-0.800000		-0.002604
0.163000		-0.800000		-0.002559
0.164000		-0.800000		-0.002515
0.165000		-0.800000		-0.002472
0.166000		-0.800000		-0.002430
0.167000		-0.800000		-0.002389
0.168000		-0.800000		-0.002349
0.169000		-0.800000		-0.002311
0.170000		-0.800000		-0.002273
0.171000		-0.800000		-0.002236
0.172000		-0.800000		-0.002200
0.173000		-0.800000		-0.002165
0.174000		-0.800000		-0.002130
0.175000		-0.800000		-0.002097
0.176000		-0.800000		-0.002064
0.177000		-0.800000		-0.002032
0.178000		-0.800000		-0.002001
0.179000		-0.800000		-0.001970
0.180000		-0.800000		-0.001940
0.181000		-0.800000		-0.001911
0.182000		-0.800000		-0.001883
0.183000		-0.800000		-0.001855
0.184000		-0.800000		-0.001828
0.185000		-0.800000		-0.001801
0.186000		-0.800000		-0.001775
0.187000		-0.800000		-0.001749
0.188000		-0.800000		-0.001725
0.189000		-0.800000		-0.001700
0.190000		-0.800000		-0.001676
0.191000		-0.800000		-0.001653
0.192000		-0.800000		-0.001630
0.193000		-0.800000		-0.001608
0.194000		-0.800000		-0.001586
0.195000		-0.800000		-0.001565
0.196000		-0.800000		-0.001544
0.197000		-0.800000		-0.001523
0.198000		-0.800000		-0.001503
0.199000		-0.800000		-0.001483
0.200000		-0.800000		-0.001464
0.100000		-0.780000		-0.014024
0.101000		-0.780000		-0.013562
0.102000		-0.780000		-0.013120
0.103000		-0.780000		-0.012698
0.104000		-0.780000		-0.012293
0.105000		-0.780000		-0.011906
0.106000		-0.780000		-0.011535
0.107000		-0.780000		-0.011179
0.108000		-0.780000		-0.010838
0.109000		-0.780000		-0.010511
0.110000		-0.780000		-0.010197
0.111000		-0.780000		-0.009896
0.112000		-0.780000		-0.009607
0.113000		-0.780000		-0.009329
0.114000		-0.780000		-0.009062
0.115000		-0.780000		-0.008805
0.116000		-0.780000		-0.008558
0.117000		-0.780000		-0.008321
0.118000		-0.780000		-0.008092
0.119000		-0.780000		-0.007872
0.120000		-0.780000		-0.007660
0.121000		-0.780000		-0.007456
0.122000		-0.780000		-0.007259
0.123000		-0.780000		-0.007069
0.124000		-0.780000		-0.006886
0.125000		-0.780000		-0.006709
0.126000		-0.780000		-0.006539
0.127000		-0.780000		-0.006374
0.128000		-0.780000		-0.006216
0.129000		-0.780000		-0.006062
0.130000		-0.780000		-0.005914
0.131000		-0.780000		-0.005771
0.132000		-0.780000		-0.005632
