101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.196000		-0.780000		28.960626
0.197000		-0.780000		29.417462
0.198000		-0.780000		29.878527
0.199000		-0.780000		30.343842
0.200000		-0.780000		30.813432
0.100000		-0.760000		2.390598
0.101000		-0.760000		2.481914
0.102000		-0.760000		2.575808
0.103000		-0.760000		2.672318
0.104000		-0.760000		2.771481
0.105000		-0.760000		2.873337
0.106000		-0.760000		2.977920
0.107000		-0.760000		3.085268
0.108000		-0.760000		3.195415
0.109000		-0.760000		3.308394
0.110000		-0.760000		3.424240
0.111000		-0.760000		3.542985
0.112000		-0.760000		3.664659
0.113000		-0.760000		3.789295
0.114000		-0.760000		3.916920
0.115000		-0.760000		4.047565
0.116000		-0.760000		4.181255
0.117000		-0.760000		4.318019
0.118000		-0.760000		4.457882
0.119000		-0.760000		4.600869
0.120000		-0.760000		4.747004
0.121000		-0.760000		4.896310
0.122000		-0.760000		5.048808
0.123000		-0.760000		5.204521
0.124000		-0.760000		5.363469
0.125000		-0.760000		5.525670
0.126000		-0.760000		5.691145
0.127000		-0.760000		5.859910
0.128000		-0.760000		6.031984
0.129000		-0.760000		6.207382
0.130000		-0.760000		6.386121
0.131000		-0.760000		6.568214
0.132000		-0.760000		6.753678
0.133000		-0.760000		6.942525
0.134000		-0.760000		7.134769
0.135000		-0.760000		7.330423
0.136000		-0.760000		7.529499
0.137000		-0.760000		7.732008
0.138000		-0.760000		7.937962
0.139000		-0.760000		8.147372
0.140000		-0.760000		8.360249
0.141000		-0.760000		8.576602
0.142000		-0.760000		8.796442
0.143000		-0.760000		9.019779
0.144000		-0.760000		9.246621
0.145000		-0.760000		9.476979
0.146000		-0.760000		9.710861
0.147000		-0.760000		9.948278
0.148000		-0.760000		10.189236
0.149000		-0.760000		10.433746
0.150000		-0.760000		10.681817
0.151000		-0.760000		10.933458
0.152000		-0.760000		11.188677
0.153000		-0.760000		11.447483
0.154000		-0.760000		11.709887
0.155000		-0.760000		11.975897
0.156000		-0.760000		12.245522
0.157000		-0.760000		12.518772
0.158000		-0.760000		12.795658
0.159000		-0.760000		13.076189
0.160000		-0.760000		13.360375
0.161000		-0.760000		13.648228
0.162000		-0.760000		13.939757
0.163000		-0.760000		14.234975
0.164000		-0.760000		14.533892
0.165000		-0.760000		14.836520
0.166000		-0.760000		15.142871
0.167000		-0.760000		15.452959
0.168000		-0.760000		15.766795
0.169000		-0.760000		16.084393
0.170000		-0.760000		16.405766
0.171000		-0.760000		16.730929
0.172000		-0.760000		17.059896
0.173000		-0.760000		17.392682
0.174000		-0.760000		17.729302
0.175000		-0.760000		18.069771
0.176000		-0.760000		18.414106
0.177000		-0.760000		18.762323
0.178000		-0.760000		19.114440
0.179000		-0.760000		19.470473
0.180000		-0.760000		19.830440
0.181000		-0.760000		20.194360
0.182000		-0.760000		20.562251
0.183000		-0.760000		20.934133
0.184000		-0.760000		21.310024
0.185000		-0.760000		21.689946
0.186000		-0.760000		22.073918
0.187000		-0.760000		22.461962
0.188000		-0.760000		22.854098
0.189000		-0.760000		23.250348
0.190000		-0.760000		23.650735
0.191000		-0.760000		24.055281
0.192000		-0.760000		24.464009
0.193000		-0.760000		24.876942
0.194000		-0.760000		25.294104
0.195000		-0.760000		25.715520
0.196000		-0.760000		26.141213
0.197000		-0.760000		26.571209
0.198000		-0.760000		27.005533
0.199000		-0.760000		27.444211
0.200000		-0.760000		27.887269
0.100000		-0.740000		2.074198
0.101000		-0.740000		2.153199
0.102000		-0.740000		2.234488
0.103000		-0.740000		2.318105
0.104000		-0.740000		2.404086
0.105000		-0.740000		2.492471
0.106000		-0.740000		2.583296
0.107000		-0.740000		2.676596
0.108000		-0.740000		2.772409
0.109000		-0.740000		2.870768
0.110000		-0.740000		2.971708
0.111000		-0.740000		3.075263
0.112000		-0.740000		3.181466
0.113000		-0.740000		3.290349
0.114000		-0.740000		3.401944
0.115000		-0.740000		3.516282
0.116000		-0.740000		3.633393
0.117000		-0.740000		3.753306
0.118000		-0.740000		3.876050
0.119000		-0.740000		4.001652
0.120000		-0.740000		4.130140
0.121000		-0.740000		4.261541
0.122000		-0.740000		4.395880
0.123000		-0.740000		4.533182
0.124000		-0.740000		4.673471
0.125000		-0.740000		4.816771
0.126000		-0.740000		4.963105
0.127000		-0.740000		5.112496
0.128000		-0.740000		5.264964
0.129000		-0.740000		5.420531
0.130000		-0.740000		5.579218
0.131000		-0.740000		5.741044
0.132000		-0.740000		5.906028
0.133000		-0.740000		6.074191
0.134000		-0.740000		6.245549
0.135000		-0.740000		6.420121
0.136000		-0.740000		6.597925
0.137000		-0.740000		6.778976
0.138000		-0.740000		6.963293
0.139000		-0.740000		7.150892
0.140000		-0.740000		7.341788
0.141000		-0.740000		7.535997
0.142000		-0.740000		7.733535
0.143000		-0.740000		7.934417
0.144000		-0.740000		8.138658
0.145000		-0.740000		8.346273
0.146000		-0.740000		8.557277
0.147000		-0.740000		8.771684
0.148000		-0.740000		8.989509
0.149000		-0.740000		9.210766
0.150000		-0.740000		9.435469
0.151000		-0.740000		9.663634
0.152000		-0.740000		9.895274
0.153000		-0.740000		10.130404
0.154000		-0.740000		10.369039
0.155000		-0.740000		10.611192
0.156000		-0.740000		10.856880
0.157000		-0.740000		11.106115
0.158000		-0.740000		11.358914
0.159000		-0.740000		11.615292
0.160000		-0.740000		11.875263
0.161000		-0.740000		12.138844
0.162000		-0.740000		12.406049
0.163000		-0.740000		12.676896
0.164000		-0.740000		12.951399
0.165000		-0.740000		13.229576
0.166000		-0.740000		13.511443
0.167000		-0.740000		13.797016
0.168000		-0.740000		14.086315
0.169000		-0.740000		14.379354
0.170000		-0.740000		14.676154
0.171000		-0.740000		14.976731
0.172000		-0.740000		15.281105
0.173000		-0.740000		15.589293
0.174000		-0.740000		15.901316
0.175000		-0.740000		16.217193
0.176000		-0.740000		16.536943
0.177000		-0.740000		16.860587
0.178000		-0.740000		17.188145
0.179000		-0.740000		17.519639
0.180000		-0.740000		17.855089
0.181000		-0.740000		18.194518
0.182000		-0.740000		18.537946
0.183000		-0.740000		18.885397
0.184000		-0.740000		19.236894
0.185000		-0.740000		19.592458
0.186000		-0.740000		19.952115
0.187000		-0.740000		20.315888
0.188000		-0.740000		20.683800
0.189000		-0.740000		21.055876
0.190000		-0.740000		21.432142
0.191000		-0.740000		21.812623
0.192000		-0.740000		22.197343
0.193000		-0.740000		22.586330
0.194000		-0.740000		22.979609
0.195000		-0.740000		23.377207
0.196000		-0.740000		23.779151
0.197000		-0.740000		24.185467
0.198000		-0.740000		24.596185
0.199000		-0.740000		25.011331
0.200000		-0.740000		25.430934
0.100000		-0.720000		1.828069
0.101000		-0.720000		1.897143
0.102000		-0.720000		1.968256
0.103000		-0.720000		2.041448
0.104000		-0.720000		2.116755
0.105000		-0.720000		2.194215
0.106000		-0.720000		2.273863
0.107000		-0.720000		2.355737
0.108000		-0.720000		2.439872
0.109000		-0.720000		2.526304
0.110000		-0.720000		2.615067
0.111000		-0.720000		2.706196
0.112000		-0.720000		2.799725
0.113000		-0.720000		2.895687
0.114000		-0.720000		2.994115
0.115000		-0.720000		3.095041
0.116000		-0.720000		3.198498
0.117000		-0.720000		3.304515
0.118000		-0.720000		3.413125
0.119000		-0.720000		3.524357
0.120000		-0.720000		3.638240
0.121000		-0.720000		3.754803
0.122000		-0.720000		3.874075
0.123000		-0.720000		3.996084
0.124000		-0.720000		4.120856
0.125000		-0.720000		4.248418
0.126000		-0.720000		4.378797
0.127000		-0.720000		4.512018
0.128000		-0.720000		4.648107
0.129000		-0.720000		4.787087
0.130000		-0.720000		4.928984
0.131000		-0.720000		5.073820
0.132000		-0.720000		5.221619
0.133000		-0.720000		5.372404
0.134000		-0.720000		5.526197
0.135000		-0.720000		5.683020
0.136000		-0.720000		5.842895
0.137000		-0.720000		6.005844
0.138000		-0.720000		6.171887
0.139000		-0.720000		6.341045
0.140000		-0.720000		6.513338
0.141000		-0.720000		6.688788
0.142000		-0.720000		6.867412
0.143000		-0.720000		7.049233
0.144000		-0.720000		7.234268
0.145000		-0.720000		7.422538
0.146000		-0.720000		7.614061
0.147000		-0.720000		7.808858
0.148000		-0.720000		8.006946
0.149000		-0.720000		8.208346
0.150000		-0.720000		8.413076
0.151000		-0.720000		8.621154
0.152000		-0.720000		8.832601
0.153000		-0.720000		9.047434
0.154000		-0.720000		9.265674
0.155000		-0.720000		9.487338
0.156000		-0.720000		9.712447
0.157000		-0.720000		9.941019
0.158000		-0.720000		10.173073
0.159000		-0.720000		10.408629
0.160000		-0.720000		10.647707
0.161000		-0.720000		10.890326
0.162000		-0.720000		11.136507
0.163000		-0.720000		11.386269
