101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.184000		-0.780000		-0.004071
0.185000		-0.780000		-0.004016
0.186000		-0.780000		-0.003963
0.187000		-0.780000		-0.003910
0.188000		-0.780000		-0.003859
0.189000		-0.780000		-0.003809
0.190000		-0.780000		-0.003760
0.191000		-0.780000		-0.003711
0.192000		-0.780000		-0.003664
0.193000		-0.780000		-0.003618
0.194000		-0.780000		-0.003573
0.195000		-0.780000		-0.003528
0.196000		-0.780000		-0.003485
0.197000		-0.780000		-0.003442
0.198000		-0.780000		-0.003400
0.199000		-0.780000		-0.003359
0.200000		-0.780000		-0.003318
0.100000		-0.760000		-0.033586
0.101000		-0.760000		-0.032342
0.102000		-0.760000		-0.031160
0.103000		-0.760000		-0.030034
0.104000		-0.760000		-0.028964
0.105000		-0.760000		-0.027944
0.106000		-0.760000		-0.026973
0.107000		-0.760000		-0.026047
0.108000		-0.760000		-0.025165
0.109000		-0.760000		-0.024323
0.110000		-0.760000		-0.023519
0.111000		-0.760000		-0.022752
0.112000		-0.760000		-0.022020
0.113000		-0.760000		-0.021320
0.114000		-0.760000		-0.020650
0.115000		-0.760000		-0.020010
0.116000		-0.760000		-0.019398
0.117000		-0.760000		-0.018812
0.118000		-0.760000		-0.018251
0.119000		-0.760000		-0.017713
0.120000		-0.760000		-0.017198
0.121000		-0.760000		-0.016705
0.122000		-0.760000		-0.016231
0.123000		-0.760000		-0.015777
0.124000		-0.760000		-0.015341
0.125000		-0.760000		-0.014922
0.126000		-0.760000		-0.014520
0.127000		-0.760000		-0.014134
0.128000		-0.760000		-0.013763
0.129000		-0.760000		-0.013406
0.130000		-0.760000		-0.013062
0.131000		-0.760000		-0.012732
0.132000		-0.760000		-0.012414
0.133000		-0.760000		-0.012107
0.134000		-0.760000		-0.011812
0.135000		-0.760000		-0.011528
0.136000		-0.760000		-0.011254
0.137000		-0.760000		-0.010990
0.138000		-0.760000		-0.010735
0.139000		-0.760000		-0.010489
0.140000		-0.760000		-0.010252
0.141000		-0.760000		-0.010022
0.142000		-0.760000		-0.009801
0.143000		-0.760000		-0.009587
0.144000		-0.760000		-0.009380
0.145000		-0.760000		-0.009180
0.146000		-0.760000		-0.008987
0.147000		-0.760000		-0.008799
0.148000		-0.760000		-0.008618
0.149000		-0.760000		-0.008443
0.150000		-0.760000		-0.008273
0.151000		-0.760000		-0.008108
0.152000		-0.760000		-0.007949
0.153000		-0.760000		-0.007794
0.154000		-0.760000		-0.007644
0.155000		-0.760000		-0.007499
0.156000		-0.760000		-0.007358
0.157000		-0.760000		-0.007221
0.158000		-0.760000		-0.007088
0.159000		-0.760000		-0.006959
0.160000		-0.760000		-0.006833
0.161000		-0.760000		-0.006711
0.162000		-0.760000		-0.006593
0.163000		-0.760000		-0.006478
0.164000		-0.760000		-0.006366
0.165000		-0.760000		-0.006257
0.166000		-0.760000		-0.006150
0.167000		-0.760000		-0.006047
0.168000		-0.760000		-0.005947
0.169000		-0.760000		-0.005849
0.170000		-0.760000		-0.005753
0.171000		-0.760000		-0.005660
0.172000		-0.760000		-0.005570
0.173000		-0.760000		-0.005481
0.174000		-0.760000		-0.005395
0.175000		-0.760000		-0.005311
0.176000		-0.760000		-0.005229
0.177000		-0.760000		-0.005149
0.178000		-0.760000		-0.005071
0.179000		-0.760000		-0.004995
0.180000		-0.760000		-0.004920
0.181000		-0.760000		-0.004847
0.182000		-0.760000		-0.004776
0.183000		-0.760000		-0.004707
0.184000		-0.760000		-0.004639
0.185000		-0.760000		-0.004572
0.186000		-0.760000		-0.004507
0.187000		-0.760000		-0.004444
0.188000		-0.760000		-0.004382
0.189000		-0.760000		-0.004321
0.190000		-0.760000		-0.004261
0.191000		-0.760000		-0.004203
0.192000		-0.760000		-0.004146
0.193000		-0.760000		-0.004090
0.194000		-0.760000		-0.004035
0.195000		-0.760000		-0.003981
0.196000		-0.760000		-0.003929
0.197000		-0.760000		-0.003877
0.198000		-0.760000		-0.003827
0.199000		-0.760000		-0.003777
0.200000		-0.760000		-0.003729
0.100000		-0.740000		-0.041207
0.101000		-0.740000		-0.039642
0.102000		-0.740000		-0.038156
0.103000		-0.740000		-0.036742
0.104000		-0.740000		-0.035397
0.105000		-0.740000		-0.034117
0.106000		-0.740000		-0.032898
0.107000		-0.740000		-0.031738
0.108000		-0.740000		-0.030631
0.109000		-0.740000		-0.029577
0.110000		-0.740000		-0.028571
0.111000		-0.740000		-0.027611
0.112000		-0.740000		-0.026694
0.113000		-0.740000		-0.025819
0.114000		-0.740000		-0.024983
0.115000		-0.740000		-0.024184
0.116000		-0.740000		-0.023420
0.117000		-0.740000		-0.022689
0.118000		-0.740000		-0.021990
0.119000		-0.740000		-0.021321
0.120000		-0.740000		-0.020679
0.121000		-0.740000		-0.020065
0.122000		-0.740000		-0.019476
0.123000		-0.740000		-0.018912
0.124000		-0.740000		-0.018370
0.125000		-0.740000		-0.017851
0.126000		-0.740000		-0.017352
0.127000		-0.740000		-0.016873
0.128000		-0.740000		-0.016413
0.129000		-0.740000		-0.015971
0.130000		-0.740000		-0.015546
0.131000		-0.740000		-0.015138
0.132000		-0.740000		-0.014745
0.133000		-0.740000		-0.014366
0.134000		-0.740000		-0.014002
0.135000		-0.740000		-0.013651
0.136000		-0.740000		-0.013313
0.137000		-0.740000		-0.012988
0.138000		-0.740000		-0.012674
0.139000		-0.740000		-0.012371
0.140000		-0.740000		-0.012079
0.141000		-0.740000		-0.011797
0.142000		-0.740000		-0.011525
0.143000		-0.740000		-0.011262
0.144000		-0.740000		-0.011008
0.145000		-0.740000		-0.010763
0.146000		-0.740000		-0.010526
0.147000		-0.740000		-0.010296
0.148000		-0.740000		-0.010074
0.149000		-0.740000		-0.009860
0.150000		-0.740000		-0.009652
0.151000		-0.740000		-0.009451
0.152000		-0.740000		-0.009256
0.153000		-0.740000		-0.009067
0.154000		-0.740000		-0.008884
0.155000		-0.740000		-0.008706
0.156000		-0.740000		-0.008534
0.157000		-0.740000		-0.008367
0.158000		-0.740000		-0.008206
0.159000		-0.740000		-0.008048
0.160000		-0.740000		-0.007896
0.161000		-0.740000		-0.007747
0.162000		-0.740000		-0.007603
0.163000		-0.740000		-0.007464
0.164000		-0.740000		-0.007327
0.165000		-0.740000		-0.007195
0.166000		-0.740000		-0.007067
0.167000		-0.740000		-0.006941
0.168000		-0.740000		-0.006820
0.169000		-0.740000		-0.006701
0.170000		-0.740000		-0.006586
0.171000		-0.740000		-0.006473
0.172000		-0.740000		-0.006364
0.173000		-0.740000		-0.006257
0.174000		-0.740000		-0.006153
0.175000		-0.740000		-0.006052
0.176000		-0.740000		-0.005953
0.177000		-0.740000		-0.005856
0.178000		-0.740000		-0.005762
0.179000		-0.740000		-0.005671
0.180000		-0.740000		-0.005581
0.181000		-0.740000		-0.005494
0.182000		-0.740000		-0.005408
0.183000		-0.740000		-0.005325
0.184000		-0.740000		-0.005243
0.185000		-0.740000		-0.005164
0.186000		-0.740000		-0.005086
0.187000		-0.740000		-0.005010
0.188000		-0.740000		-0.004935
0.189000		-0.740000		-0.004863
0.190000		-0.740000		-0.004791
0.191000		-0.740000		-0.004722
0.192000		-0.740000		-0.004654
0.193000		-0.740000		-0.004587
0.194000		-0.740000		-0.004522
0.195000		-0.740000		-0.004458
0.196000		-0.740000		-0.004395
0.197000		-0.740000		-0.004334
0.198000		-0.740000		-0.004274
0.199000		-0.740000		-0.004215
0.200000		-0.740000		-0.004157
