101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.185000		-0.780000		-0.182736
0.186000		-0.780000		-0.182924
0.187000		-0.780000		-0.183117
0.188000		-0.780000		-0.183315
0.189000		-0.780000		-0.183518
0.190000		-0.780000		-0.183725
0.191000		-0.780000		-0.183936
0.192000		-0.780000		-0.184152
0.193000		-0.780000		-0.184372
0.194000		-0.780000		-0.184596
0.195000		-0.780000		-0.184823
0.196000		-0.780000		-0.185054
0.197000		-0.780000		-0.185288
0.198000		-0.780000		-0.185526
0.199000		-0.780000		-0.185767
0.200000		-0.780000		-0.186010
0.100000		-0.760000		-0.209304
0.101000		-0.760000		-0.208168
0.102000		-0.760000		-0.207055
0.103000		-0.760000		-0.205966
0.104000		-0.760000		-0.204901
0.105000		-0.760000		-0.203861
0.106000		-0.760000		-0.202845
0.107000		-0.760000		-0.201853
0.108000		-0.760000		-0.200884
0.109000		-0.760000		-0.199940
0.110000		-0.760000		-0.199020
0.111000		-0.760000		-0.198124
0.112000		-0.760000		-0.197252
0.113000		-0.760000		-0.196403
0.114000		-0.760000		-0.195578
0.115000		-0.760000		-0.194776
0.116000		-0.760000		-0.193998
0.117000		-0.760000		-0.193243
0.118000		-0.760000		-0.192511
0.119000		-0.760000		-0.191802
0.120000		-0.760000		-0.191116
0.121000		-0.760000		-0.190452
0.122000		-0.760000		-0.189810
0.123000		-0.760000		-0.189190
0.124000		-0.760000		-0.188592
0.125000		-0.760000		-0.188016
0.126000		-0.760000		-0.187461
0.127000		-0.760000		-0.186926
0.128000		-0.760000		-0.186413
0.129000		-0.760000		-0.185920
0.130000		-0.760000		-0.185448
0.131000		-0.760000		-0.184995
0.132000		-0.760000		-0.184562
0.133000		-0.760000		-0.184148
0.134000		-0.760000		-0.183753
0.135000		-0.760000		-0.183377
0.136000		-0.760000		-0.183019
0.137000		-0.760000		-0.182680
0.138000		-0.760000		-0.182358
0.139000		-0.760000		-0.182053
0.140000		-0.760000		-0.181766
0.141000		-0.760000		-0.181496
0.142000		-0.760000		-0.181242
0.143000		-0.760000		-0.181004
0.144000		-0.760000		-0.180782
0.145000		-0.760000		-0.180576
0.146000		-0.760000		-0.180385
0.147000		-0.760000		-0.180209
0.148000		-0.760000		-0.180047
