101
81
T [GeV]		muB [GeV]		c2_T4 [fm^3/GeV^3 * GeV^4]
0.100000		-0.800000		-0.001980
0.101000		-0.800000		-0.001909
0.102000		-0.800000		-0.001841
0.103000		-0.800000		-0.001777
0.104000		-0.800000		-0.001715
0.105000		-0.800000		-0.001656
0.106000		-0.800000		-0.001601
0.107000		-0.800000		-0.001547
0.108000		-0.800000		-0.001496
0.109000		-0.800000		-0.001447
0.110000		-0.800000		-0.001401
0.111000		-0.800000		-0.001356
0.112000		-0.800000		-0.001314
0.113000		-0.800000		-0.001273
0.114000		-0.800000		-0.001234
0.115000		-0.800000		-0.001197
0.116000		-0.800000		-0.001161
0.117000		-0.800000		-0.001127
0.118000		-0.800000		-0.001094
0.119000		-0.800000		-0.001063
0.120000		-0.800000		-0.001032
0.121000		-0.800000		-0.001003
0.122000		-0.800000		-0.000976
0.123000		-0.800000		-0.000949
0.124000		-0.800000		-0.000923
0.125000		-0.800000		-0.000899
0.126000		-0.800000		-0.000875
0.127000		-0.800000		-0.000852
0.128000		-0.800000		-0.000830
0.129000		-0.800000		-0.000809
0.130000		-0.800000		-0.000789
0.131000		-0.800000		-0.000769
0.132000		-0.800000		-0.000751
0.133000		-0.800000		-0.000732
0.134000		-0.800000		-0.000715
0.135000		-0.800000		-0.000698
0.136000		-0.800000		-0.000682
0.137000		-0.800000		-0.000666
0.138000		-0.800000		-0.000651
0.139000		-0.800000		-0.000636
0.140000		-0.800000		-0.000622
0.141000		-0.800000		-0.000609
0.142000		-0.800000		-0.000596
0.143000		-0.800000		-0.000583
0.144000		-0.800000		-0.000571
0.145000		-0.800000		-0.000559
0.146000		-0.800000		-0.000547
0.147000		-0.800000		-0.000536
0.148000		-0.800000		-0.000525
0.149000		-0.800000		-0.000515
0.150000		-0.800000		-0.000505
0.151000		-0.800000		-0.000495
0.152000		-0.800000		-0.000486
0.153000		-0.800000		-0.000476
0.154000		-0.800000		-0.000467
0.155000		-0.800000		-0.000459
0.156000		-0.800000		-0.000450
0.157000		-0.800000		-0.000442
0.158000		-0.800000		-0.000434
0.159000		-0.800000		-0.000427
0.160000		-0.800000		-0.000419
0.161000		-0.800000		-0.000412
0.162000		-0.800000		-0.000405
0.163000		-0.800000		-0.000398
0.164000		-0.800000		-0.000392
0.165000		-0.800000		-0.000385
0.166000		-0.800000		-0.000379
0.167000		-0.800000		-0.000373
0.168000		-0.800000		-0.000367
0.169000		-0.800000		-0.000361
