101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.196000		-0.780000		578.362080
0.197000		-0.780000		582.559205
0.198000		-0.780000		586.748751
0.199000		-0.780000		590.930454
0.200000		-0.780000		595.104055
0.100000		-0.760000		152.050005
0.101000		-0.760000		155.178264
0.102000		-0.760000		158.329863
0.103000		-0.760000		161.504693
0.104000		-0.760000		164.702632
0.105000		-0.760000		167.923540
0.106000		-0.760000		171.167264
0.107000		-0.760000		174.433642
0.108000		-0.760000		177.722495
0.109000		-0.760000		181.033639
0.110000		-0.760000		184.366876
0.111000		-0.760000		187.722001
0.112000		-0.760000		191.098799
0.113000		-0.760000		194.497051
0.114000		-0.760000		197.916527
0.115000		-0.760000		201.356993
0.116000		-0.760000		204.818211
0.117000		-0.760000		208.299934
0.118000		-0.760000		211.801914
0.119000		-0.760000		215.323897
0.120000		-0.760000		218.865625
0.121000		-0.760000		222.426837
0.122000		-0.760000		226.007269
0.123000		-0.760000		229.606654
0.124000		-0.760000		233.224721
0.125000		-0.760000		236.861198
0.126000		-0.760000		240.515810
0.127000		-0.760000		244.188278
0.128000		-0.760000		247.878324
0.129000		-0.760000		251.585664
0.130000		-0.760000		255.310014
0.131000		-0.760000		259.051087
0.132000		-0.760000		262.808595
0.133000		-0.760000		266.582247
0.134000		-0.760000		270.371749
0.135000		-0.760000		274.176806
0.136000		-0.760000		277.997120
0.137000		-0.760000		281.832392
0.138000		-0.760000		285.682319
0.139000		-0.760000		289.546598
0.140000		-0.760000		293.424921
0.141000		-0.760000		297.316980
0.142000		-0.760000		301.222464
0.143000		-0.760000		305.141060
0.144000		-0.760000		309.072451
0.145000		-0.760000		313.016321
0.146000		-0.760000		316.972348
0.147000		-0.760000		320.940212
0.148000		-0.760000		324.919588
0.149000		-0.760000		328.910149
0.150000		-0.760000		332.911567
0.151000		-0.760000		336.923513
0.152000		-0.760000		340.945653
0.153000		-0.760000		344.977653
0.154000		-0.760000		349.019179
0.155000		-0.760000		353.069892
0.156000		-0.760000		357.129455
0.157000		-0.760000		361.197526
0.158000		-0.760000		365.273765
0.159000		-0.760000		369.357829
0.160000		-0.760000		373.449374
0.161000		-0.760000		377.548055
0.162000		-0.760000		381.653529
0.163000		-0.760000		385.765447
0.164000		-0.760000		389.883466
0.165000		-0.760000		394.007237
0.166000		-0.760000		398.136414
0.167000		-0.760000		402.270650
0.168000		-0.760000		406.409599
0.169000		-0.760000		410.552914
0.170000		-0.760000		414.700250
0.171000		-0.760000		418.851262
0.172000		-0.760000		423.005604
0.173000		-0.760000		427.162933
0.174000		-0.760000		431.322908
0.175000		-0.760000		435.485187
0.176000		-0.760000		439.649430
0.177000		-0.760000		443.815299
0.178000		-0.760000		447.982457
0.179000		-0.760000		452.150571
0.180000		-0.760000		456.319308
0.181000		-0.760000		460.488337
0.182000		-0.760000		464.657330
0.183000		-0.760000		468.825962
0.184000		-0.760000		472.993908
0.185000		-0.760000		477.160850
0.186000		-0.760000		481.326469
0.187000		-0.760000		485.490450
0.188000		-0.760000		489.652482
0.189000		-0.760000		493.812256
0.190000		-0.760000		497.969467
0.191000		-0.760000		502.123813
0.192000		-0.760000		506.274995
0.193000		-0.760000		510.422718
0.194000		-0.760000		514.566691
0.195000		-0.760000		518.706627
0.196000		-0.760000		522.842240
0.197000		-0.760000		526.973251
0.198000		-0.760000		531.099384
0.199000		-0.760000		535.220367
0.200000		-0.760000		539.335930
0.100000		-0.740000		123.757955
0.101000		-0.740000		126.557220
0.102000		-0.740000		129.381757
0.103000		-0.740000		132.231458
0.104000		-0.740000		135.106206
0.105000		-0.740000		138.005872
0.106000		-0.740000		140.930316
0.107000		-0.740000		143.879385
0.108000		-0.740000		146.852921
0.109000		-0.740000		149.850752
0.110000		-0.740000		152.872700
0.111000		-0.740000		155.918579
0.112000		-0.740000		158.988195
0.113000		-0.740000		162.081346
0.114000		-0.740000		165.197824
0.115000		-0.740000		168.337416
0.116000		-0.740000		171.499902
0.117000		-0.740000		174.685057
0.118000		-0.740000		177.892652
0.119000		-0.740000		181.122453
0.120000		-0.740000		184.374221
0.121000		-0.740000		187.647714
0.122000		-0.740000		190.942685
0.123000		-0.740000		194.258885
0.124000		-0.740000		197.596060
0.125000		-0.740000		200.953953
0.126000		-0.740000		204.332306
0.127000		-0.740000		207.730855
0.128000		-0.740000		211.149335
0.129000		-0.740000		214.587477
0.130000		-0.740000		218.045010
0.131000		-0.740000		221.521659
0.132000		-0.740000		225.017149
0.133000		-0.740000		228.531199
0.134000		-0.740000		232.063527
0.135000		-0.740000		235.613849
0.136000		-0.740000		239.181877
0.137000		-0.740000		242.767320
0.138000		-0.740000		246.369886
0.139000		-0.740000		249.989280
0.140000		-0.740000		253.625204
0.141000		-0.740000		257.277356
0.142000		-0.740000		260.945435
0.143000		-0.740000		264.629134
0.144000		-0.740000		268.328146
0.145000		-0.740000		272.042159
0.146000		-0.740000		275.770862
0.147000		-0.740000		279.513938
0.148000		-0.740000		283.271071
0.149000		-0.740000		287.041939
0.150000		-0.740000		290.826222
0.151000		-0.740000		294.623596
0.152000		-0.740000		298.433734
0.153000		-0.740000		302.256308
0.154000		-0.740000		306.090988
0.155000		-0.740000		309.937444
0.156000		-0.740000		313.795341
0.157000		-0.740000		317.664346
0.158000		-0.740000		321.544122
0.159000		-0.740000		325.434332
0.160000		-0.740000		329.334638
0.161000		-0.740000		333.244700
0.162000		-0.740000		337.164178
0.163000		-0.740000		341.092731
0.164000		-0.740000		345.030018
0.165000		-0.740000		348.975695
0.166000		-0.740000		352.929423
0.167000		-0.740000		356.890856
0.168000		-0.740000		360.859654
0.169000		-0.740000		364.835474
0.170000		-0.740000		368.817973
0.171000		-0.740000		372.806811
0.172000		-0.740000		376.801646
0.173000		-0.740000		380.802137
0.174000		-0.740000		384.807946
0.175000		-0.740000		388.818735
0.176000		-0.740000		392.834165
0.177000		-0.740000		396.853901
0.178000		-0.740000		400.877608
0.179000		-0.740000		404.904954
0.180000		-0.740000		408.935608
0.181000		-0.740000		412.969240
0.182000		-0.740000		417.005523
0.183000		-0.740000		421.044132
0.184000		-0.740000		425.084744
0.185000		-0.740000		429.127039
0.186000		-0.740000		433.170697
0.187000		-0.740000		437.215404
0.188000		-0.740000		441.260847
0.189000		-0.740000		445.306715
0.190000		-0.740000		449.352702
0.191000		-0.740000		453.398503
0.192000		-0.740000		457.443817
0.193000		-0.740000		461.488346
0.194000		-0.740000		465.531794
0.195000		-0.740000		469.573871
0.196000		-0.740000		473.614288
0.197000		-0.740000		477.652760
0.198000		-0.740000		481.689007
0.199000		-0.740000		485.722749
0.200000		-0.740000		489.753714
0.100000		-0.720000		101.342019
0.101000		-0.720000		103.834249
0.102000		-0.720000		106.352817
0.103000		-0.720000		108.897635
0.104000		-0.720000		111.468603
0.105000		-0.720000		114.065614
0.106000		-0.720000		116.688550
0.107000		-0.720000		119.337285
0.108000		-0.720000		122.011684
0.109000		-0.720000		124.711605
0.110000		-0.720000		127.436898
0.111000		-0.720000		130.187404
0.112000		-0.720000		132.962960
0.113000		-0.720000		135.763394
0.114000		-0.720000		138.588528
0.115000		-0.720000		141.438179
0.116000		-0.720000		144.312157
0.117000		-0.720000		147.210267
0.118000		-0.720000		150.132310
0.119000		-0.720000		153.078080
0.120000		-0.720000		156.047369
0.121000		-0.720000		159.039961
0.122000		-0.720000		162.055640
0.123000		-0.720000		165.094182
0.124000		-0.720000		168.155361
0.125000		-0.720000		171.238947
0.126000		-0.720000		174.344707
0.127000		-0.720000		177.472401
0.128000		-0.720000		180.621790
0.129000		-0.720000		183.792629
0.130000		-0.720000		186.984669
0.131000		-0.720000		190.197660
0.132000		-0.720000		193.431347
0.133000		-0.720000		196.685472
0.134000		-0.720000		199.959774
0.135000		-0.720000		203.253988
0.136000		-0.720000		206.567847
0.137000		-0.720000		209.901081
0.138000		-0.720000		213.253416
0.139000		-0.720000		216.624575
0.140000		-0.720000		220.014279
0.141000		-0.720000		223.422244
0.142000		-0.720000		226.848186
0.143000		-0.720000		230.291816
0.144000		-0.720000		233.752843
0.145000		-0.720000		237.230972
0.146000		-0.720000		240.725907
0.147000		-0.720000		244.237348
0.148000		-0.720000		247.764993
0.149000		-0.720000		251.308537
0.150000		-0.720000		254.867675
0.151000		-0.720000		258.442095
0.152000		-0.720000		262.031487
0.153000		-0.720000		265.635536
0.154000		-0.720000		269.253927
0.155000		-0.720000		272.886342
0.156000		-0.720000		276.532461
0.157000		-0.720000		280.191963
0.158000		-0.720000		283.864525
0.159000		-0.720000		287.549821
0.160000		-0.720000		291.247526
0.161000		-0.720000		294.957313
0.162000		-0.720000		298.678854
0.163000		-0.720000		302.411818
0.164000		-0.720000		306.155876
0.165000		-0.720000		309.910697
0.166000		-0.720000		313.675949
0.167000		-0.720000		317.451300
0.168000		-0.720000		321.236419
0.169000		-0.720000		325.030972
0.170000		-0.720000		328.834627
0.171000		-0.720000		332.647053
0.172000		-0.720000		336.467916
0.173000		-0.720000		340.296885
0.174000		-0.720000		344.133630
0.175000		-0.720000		347.977819
0.176000		-0.720000		351.829124
0.177000		-0.720000		355.687215
0.178000		-0.720000		359.551766
0.179000		-0.720000		363.422448
0.180000		-0.720000		367.298939
0.181000		-0.720000		371.180914
0.182000		-0.720000		375.068050
0.183000		-0.720000		378.960029
0.184000		-0.720000		382.856531
0.185000		-0.720000		386.757239
0.186000		-0.720000		390.661841
0.187000		-0.720000		394.570022
0.188000		-0.720000		398.481472
0.189000		-0.720000		402.395885
0.190000		-0.720000		406.312955
0.191000		-0.720000		410.232378
0.192000		-0.720000		414.153854
0.193000		-0.720000		418.077086
0.194000		-0.720000		422.001779
0.195000		-0.720000		425.927640
0.196000		-0.720000		429.854381
0.197000		-0.720000		433.781716
0.198000		-0.720000		437.709360
0.199000		-0.720000		441.637034
0.200000		-0.720000		445.564460
0.100000		-0.700000		83.487681
0.101000		-0.700000		85.698964
0.102000		-0.700000		87.936952
0.103000		-0.700000		90.201579
0.104000		-0.700000		92.492774
0.105000		-0.700000		94.810456
0.106000		-0.700000		97.154537
0.107000		-0.700000		99.524922
0.108000		-0.700000		101.921509
0.109000		-0.700000		104.344188
0.110000		-0.700000		106.792843
0.111000		-0.700000		109.267351
0.112000		-0.700000		111.767583
0.113000		-0.700000		114.293402
0.114000		-0.700000		116.844667
0.115000		-0.700000		119.421230
0.116000		-0.700000		122.022938
0.117000		-0.700000		124.649631
0.118000		-0.700000		127.301146
0.119000		-0.700000		129.977312
0.120000		-0.700000		132.677957
0.121000		-0.700000		135.402900
0.122000		-0.700000		138.151957
0.123000		-0.700000		140.924941
0.124000		-0.700000		143.721659
0.125000		-0.700000		146.541912
0.126000		-0.700000		149.385501
0.127000		-0.700000		152.252220
0.128000		-0.700000		155.141858
0.129000		-0.700000		158.054203
0.130000		-0.700000		160.989037
0.131000		-0.700000		163.946138
0.132000		-0.700000		166.925281
0.133000		-0.700000		169.926237
0.134000		-0.700000		172.948774
0.135000		-0.700000		175.992655
0.136000		-0.700000		179.057640
0.137000		-0.700000		182.143485
0.138000		-0.700000		185.249943
0.139000		-0.700000		188.376763
0.140000		-0.700000		191.523692
0.141000		-0.700000		194.690471
0.142000		-0.700000		197.876840
0.143000		-0.700000		201.082534
0.144000		-0.700000		204.307287
0.145000		-0.700000		207.550826
0.146000		-0.700000		210.812879
0.147000		-0.700000		214.093169
0.148000		-0.700000		217.391416
0.149000		-0.700000		220.707337
0.150000		-0.700000		224.040648
0.151000		-0.700000		227.391059
0.152000		-0.700000		230.758280
0.153000		-0.700000		234.142018
0.154000		-0.700000		237.541977
0.155000		-0.700000		240.957859
0.156000		-0.700000		244.389365
0.157000		-0.700000		247.836191
0.158000		-0.700000		251.298034
0.159000		-0.700000		254.774587
0.160000		-0.700000		258.265543
0.161000		-0.700000		261.770592
0.162000		-0.700000		265.289424
0.163000		-0.700000		268.821725
0.164000		-0.700000		272.367184
0.165000		-0.700000		275.925485
0.166000		-0.700000		279.496313
0.167000		-0.700000		283.079351
0.168000		-0.700000		286.674283
0.169000		-0.700000		290.280791
0.170000		-0.700000		293.898557
0.171000		-0.700000		297.527263
0.172000		-0.700000		301.166591
