101
81
T [GeV]		muB [GeV]		c4_T5 [fm^3/GeV^2 * GeV^5]
0.100000		-0.800000		-0.001706
0.101000		-0.800000		-0.001656
0.102000		-0.800000		-0.001609
0.103000		-0.800000		-0.001564
0.104000		-0.800000		-0.001520
0.105000		-0.800000		-0.001478
0.106000		-0.800000		-0.001438
0.107000		-0.800000		-0.001399
0.108000		-0.800000		-0.001362
0.109000		-0.800000		-0.001326
0.110000		-0.800000		-0.001292
0.111000		-0.800000		-0.001258
0.112000		-0.800000		-0.001226
0.113000		-0.800000		-0.001195
0.114000		-0.800000		-0.001166
0.115000		-0.800000		-0.001137
0.116000		-0.800000		-0.001110
0.117000		-0.800000		-0.001083
0.118000		-0.800000		-0.001057
0.119000		-0.800000		-0.001032
0.120000		-0.800000		-0.001009
0.121000		-0.800000		-0.000985
0.122000		-0.800000		-0.000963
0.123000		-0.800000		-0.000942
0.124000		-0.800000		-0.000921
0.125000		-0.800000		-0.000901
0.126000		-0.800000		-0.000881
0.127000		-0.800000		-0.000862
0.128000		-0.800000		-0.000844
0.129000		-0.800000		-0.000827
0.130000		-0.800000		-0.000810
0.131000		-0.800000		-0.000793
0.132000		-0.800000		-0.000777
0.133000		-0.800000		-0.000762
0.134000		-0.800000		-0.000747
0.135000		-0.800000		-0.000732
0.136000		-0.800000		-0.000718
0.137000		-0.800000		-0.000705
0.138000		-0.800000		-0.000692
0.139000		-0.800000		-0.000679
0.140000		-0.800000		-0.000666
0.141000		-0.800000		-0.000654
0.142000		-0.800000		-0.000643
0.143000		-0.800000		-0.000631
0.144000		-0.800000		-0.000620
0.145000		-0.800000		-0.000610
0.146000		-0.800000		-0.000599
0.147000		-0.800000		-0.000589
0.148000		-0.800000		-0.000580
0.149000		-0.800000		-0.000570
0.150000		-0.800000		-0.000561
0.151000		-0.800000		-0.000552
0.152000		-0.800000		-0.000543
0.153000		-0.800000		-0.000534
0.154000		-0.800000		-0.000526
0.155000		-0.800000		-0.000518
0.156000		-0.800000		-0.000510
0.157000		-0.800000		-0.000503
0.158000		-0.800000		-0.000495
0.159000		-0.800000		-0.000488
0.160000		-0.800000		-0.000481
0.161000		-0.800000		-0.000474
0.162000		-0.800000		-0.000467
0.163000		-0.800000		-0.000461
0.164000		-0.800000		-0.000454
0.165000		-0.800000		-0.000448
0.166000		-0.800000		-0.000442
0.167000		-0.800000		-0.000436
0.168000		-0.800000		-0.000430
0.169000		-0.800000		-0.000424
0.170000		-0.800000		-0.000419
0.171000		-0.800000		-0.000413
0.172000		-0.800000		-0.000408
0.173000		-0.800000		-0.000403
0.174000		-0.800000		-0.000398
0.175000		-0.800000		-0.000393
0.176000		-0.800000		-0.000388
0.177000		-0.800000		-0.000383
0.178000		-0.800000		-0.000379
0.179000		-0.800000		-0.000374
0.180000		-0.800000		-0.000370
0.181000		-0.800000		-0.000365
0.182000		-0.800000		-0.000361
0.183000		-0.800000		-0.000357
0.184000		-0.800000		-0.000353
0.185000		-0.800000		-0.000349
0.186000		-0.800000		-0.000345
0.187000		-0.800000		-0.000341
0.188000		-0.800000		-0.000337
